Date,Open,High,Low,Close,Volume,OpenInt
20010424,38.12211,38.46507,35.77018,36.47563,1972446,0
20010425,36.26014,38.22000,35.79946,38.05342,1702346,0
20010426,37.48505,40.15056,37.24006,37.24989,2168568,0
20010427,38.61218,39.39606,37.48505,38.01421,1250713,0
20010430,38.61218,39.44510,38.06326,38.22991,1233569,0
20010501,37.14199,38.66092,36.78931,38.41594,1563773,0
20010502,39.10224,39.64104,38.42586,38.92565,1314691,0
20010503,38.46507,38.46507,37.12254,37.68109,1212855,0
20010504,37.43621,38.31806,36.35810,37.60267,1822958,0
20010507,36.84798,38.30833,36.65203,37.96528,1508467,0
20010508,38.12211,38.80812,37.07340,37.65161,1168774,0
20010509,37.14199,39.14145,36.75010,38.22000,1837446,0
20010510,39.20002,40.35653,38.27885,38.42586,1801529,0
20010511,38.51401,39.57245,38.51401,38.89627,1503467,0
20010514,39.02363,39.03344,37.25962,37.97500,1275202,0
20010515,37.09315,38.10247,36.26014,36.70106,1727854,0
20010516,35.73097,37.73003,34.79004,37.73003,2334995,0
20010517,37.24006,38.71005,36.76966,37.94563,2183568,0
20010518,37.24006,38.17115,34.98599,35.28002,6796010,0
20010521,35.28002,37.53408,34.98599,37.24006,4607850,0
20010522,37.97500,39.00407,37.07340,38.46507,2565403,0
20010523,37.58301,37.67127,36.75010,37.17147,2542854,0
20010524,37.17147,37.33804,35.57413,35.57413,2004995,0
20010525,36.06410,37.73003,36.06410,36.93622,1501834,0
20010529,36.89701,36.89701,34.82925,35.23098,1622854,0
20010530,33.41793,34.10394,32.06568,32.21269,2589281,0
20010531,32.34004,33.32007,31.60510,32.86931,3374179,0
20010601,33.81002,34.05510,31.51675,33.29058,1744181,0
20010604,33.32007,33.50628,32.63405,32.83010,1611222,0
20010605,32.83010,33.66292,32.83010,33.41793,2400506,0
20010606,33.41793,34.20211,32.84955,33.58469,1464182,0
20010607,32.83010,35.72104,32.83010,35.12328,2138057,0
20010608,34.53524,34.98599,34.15298,34.30992,960306,0
20010611,33.71206,34.29999,32.49687,33.09464,2327240,0
20010612,32.35969,32.97701,31.45809,32.63405,2098976,0
20010613,32.83010,33.25137,31.98736,31.98736,1159591,0
20010614,31.50711,31.51675,29.74292,30.47795,2432139,0
20010615,29.41971,30.34088,28.42004,29.85082,2920812,0
20010618,29.69408,30.44868,28.69440,29.39997,1819385,0
20010619,29.89002,30.06642,28.42004,28.73361,2406016,0
20010620,28.73361,28.81203,26.70507,27.85165,3376628,0
20010621,28.17496,29.05701,27.75379,28.98851,2277752,0
20010622,28.42004,29.75284,28.18478,28.81203,2508465,0
20010625,28.86107,29.35103,28.61608,29.05701,1690404,0
20010626,28.71405,29.35103,27.91043,28.61608,2560198,0
20010627,27.88093,29.89002,27.88093,29.25295,2467344,0
20010628,29.39997,31.26214,29.39997,31.05627,3073668,0
20010629,30.87005,33.41793,30.18404,31.85007,4100402,0
20010702,31.85007,32.83010,31.37967,32.42828,1571019,0
20010703,32.53608,32.53608,31.67359,31.86973,685304,0
20010705,31.85981,32.28117,30.91889,31.52658,1514693,0
20010706,31.26214,31.26214,28.55722,29.54698,1624691,0
20010709,29.54698,30.03703,29.01780,29.31192,1013059,0
20010710,29.31192,29.79205,27.51833,27.73392,2472752,0
20010711,27.78307,28.17496,25.67601,26.33274,3165402,0
20010712,27.93007,30.87005,27.73392,30.12528,2517445,0
20010713,30.13511,31.44816,29.22357,29.69408,2030609,0
20010716,29.54698,30.02731,27.93007,28.32216,1627549,0
20010717,27.68509,29.34129,27.44984,28.90999,2140201,0
20010718,27.53808,28.65529,27.53808,27.92014,1066529,0
20010719,28.06725,29.89002,28.06725,28.38093,1373875,0
20010720,28.13585,28.79246,27.34193,28.32216,1500406,0
20010723,28.41021,28.76318,26.99889,27.15582,1509793,0
20010724,27.04802,27.39108,26.46018,26.90111,1809283,0
20010725,26.85208,27.28328,26.38176,27.28328,1673671,0
20010726,27.44001,28.95904,27.09706,28.62581,1857854,0
20010727,28.56695,29.58619,28.23392,29.49803,1349692,0
20010730,28.46917,29.35103,28.46917,28.83167,1320405,0
20010731,28.46917,29.69408,27.86149,28.03787,1564386,0
20010801,28.90999,31.25221,28.63564,31.11504,2565302,0
20010802,30.87005,32.04611,30.52710,31.11504,1880915,0
20010803,30.57604,31.70307,30.49772,30.67400,1035101,0
20010806,30.68384,30.85040,29.89985,30.20369,1246529,0
20010807,30.20369,31.16407,29.89002,30.40947,1078875,0
20010808,29.10604,29.98810,28.34172,28.37100,2258160,0
20010809,28.37100,28.37100,27.45966,28.06725,1179793,0
20010810,28.07708,28.22399,26.95968,28.01833,1747037,0
20010813,28.42004,28.76318,27.63606,28.34172,878774,0
20010814,28.42004,29.10604,28.42004,28.94930,1592548,0
20010815,28.32216,28.59643,26.91084,27.29310,1181733,0
20010816,26.70507,27.19503,26.06800,26.95005,1834282,0
20010817,26.75400,26.75400,25.65645,25.92099,1572854,0
20010820,25.57803,25.83284,24.78422,25.56831,1633569,0
20010821,24.69599,26.46018,23.81393,25.92099,5561217,0
20010822,26.31297,26.45027,25.47996,25.85249,1849794,0
20010823,25.85249,26.25422,25.37226,25.64662,2655199,0
20010824,25.97002,27.48895,25.77407,27.23424,1429590,0
20010827,27.46960,27.47912,26.50892,26.61682,1002753,0
20010828,26.65603,27.24407,26.22484,26.95005,1372549,0
20010829,26.85208,27.04802,26.56789,26.60710,1412140,0
20010830,26.36201,26.99889,25.39191,25.52910,1453569,0
20010831,25.38199,26.21501,25.33305,25.97002,1050712,0
20010904,25.82292,26.41106,25.08807,25.31350,1363774,0
20010905,24.84299,25.26436,23.77472,24.10805,3006527,0
20010906,23.86306,24.05911,22.73603,23.52001,2871425,0
20010907,22.73603,23.76509,22.64789,22.88304,1717549,0
20010910,22.05012,22.71647,21.91284,22.58902,2004588,0
20010917,20.72705,22.03026,20.58003,21.31508,2591832,0
20010918,21.06990,21.95195,20.58003,21.29552,1556222,0
20010919,21.09938,22.54018,19.70781,22.29500,2986525,0
20010920,21.56006,21.56988,20.12917,20.40364,2131219,0
20010921,17.64005,20.04113,17.64005,19.74702,2976628,0
20010924,20.08996,21.25632,19.79615,20.58003,2028874,0
20010925,20.77598,20.77598,18.13011,19.38451,2515404,0
20010926,19.55097,19.79615,18.13011,18.91400,2316016,0
20010927,18.67874,18.85524,18.05170,18.85524,1844487,0
